Date,TCS,Infosys,Wipro
22-Jun-17,2403.02,953.78,255.69
23-Jun-17,2388.78,943.77,256.9
27-Jun-17,2357.33,929.06,255.28
28-Jun-17,2345.89,925.73,256.98
29-Jun-17,2342.52,935.13,258.97
30-Jun-17,2361.01,934.42,257.93
03-Jul-17,2368.46,945.66,257.09
04-Jul-17,2366.9,962.03,258.27
05-Jul-17,2354.42,950.46,258.04
06-Jul-17,2348.75,950.12,258.02
07-Jul-17,2343.49,938.78,257.36
10-Jul-17,2426.54,953.49,266.4
11-Jul-17,2478.13,978.98,267.63
12-Jul-17,2453.34,974.41,263.4
13-Jul-17,2449.5,977,264.07
14-Jul-17,2396.18,985.55,261.04
17-Jul-17,2402.63,984.54,268.57
18-Jul-17,2418.05,995.69,269.29
19-Jul-17,2442.01,976.12,269.87
20-Jul-17,2441.25,970.69,271.06
21-Jul-17,2473.18,978.45,286.85
24-Jul-17,2519.47,989.58,291.58
25-Jul-17,2552.41,992.82,290.01
26-Jul-17,2559.66,993.84,289.37
27-Jul-17,2499.85,981.64,289.82
28-Jul-17,2467.41,987.2,288.93
31-Jul-17,2490.03,1007.77,288.86
01-Aug-17,2502.14,1005.38,293.8
02-Aug-17,2484.51,999.06,294.98
03-Aug-17,2486.75,988.23,291.79
04-Aug-17,2510.86,981.53,290.08
07-Aug-17,2491.28,972.33,287.98
08-Aug-17,2507.64,963.45,286.88
09-Aug-17,2511.32,969.56,287.14
10-Aug-17,2499.22,982,287.72
11-Aug-17,2503.79,986.81,290.49
14-Aug-17,2487.26,981.62,288.54
16-Aug-17,2487.66,975.79,289.59
17-Aug-17,2480.04,1012.61,289.27
18-Aug-17,2520.86,932.15,289.37
21-Aug-17,2534.62,888.68,288.99
22-Aug-17,2516.08,876.3,291.04
23-Aug-17,2487.52,890.37,290.22
24-Aug-17,2495.82,910.72,289.63
28-Aug-17,2479.76,944.82,290.75
29-Aug-17,2472.97,933.49,290.81
30-Aug-17,2478.46,930.56,291.48
31-Aug-17,2489.91,916.78,297.86
01-Sep-17,2452.84,919.57,296.79
04-Sep-17,2452.06,904.13,296.75
05-Sep-17,2463.13,901.02,297.47
06-Sep-17,2454.77,894.39,296.97
07-Sep-17,2458.6,896.04,298.85
08-Sep-17,2466.13,888.07,299.79
11-Sep-17,2463.39,880.91,301.47
12-Sep-17,2469.62,881.98,299.07
13-Sep-17,2504.48,883.75,297
14-Sep-17,2484.2,891.42,283.65
15-Sep-17,2503.39,904.85,285.31
18-Sep-17,2502.71,912.83,288.14
19-Sep-17,2496.55,911.15,289.58
20-Sep-17,2485.89,910.97,289.15
21-Sep-17,2509.94,910.99,291.3
22-Sep-17,2508.22,897.32,293.38
25-Sep-17,2515.11,894.32,292.08
26-Sep-17,2485.79,900.14,290.22
27-Sep-17,2495.71,900.49,288.59
28-Sep-17,2480.49,897.71,286.08
29-Sep-17,2455.42,899.31,283.08
03-Oct-17,2440.87,905.66,283.28
04-Oct-17,2440.46,901.13,283.86
05-Oct-17,2434.97,902.78,283.86
06-Oct-17,2443.5,916.53,286.15
09-Oct-17,2457.72,923.72,286.08
10-Oct-17,2459.75,935.46,286.83
11-Oct-17,2494.35,932.27,289.49
12-Oct-17,2529.48,924.62,292.67
13-Oct-17,2562.16,929.7,292.43
16-Oct-17,2577.86,937.81,289.72
17-Oct-17,2598.37,932.11,290.2
18-Oct-17,2588.24,926.7,294.6
19-Oct-17,2581.96,927.39,292.41
23-Oct-17,2599.06,936.18,294.27
24-Oct-17,2581.12,933.61,296.69
25-Oct-17,2580.66,934.05,299.72
26-Oct-17,2541.16,946.46,301.35
27-Oct-17,2567.39,948.86,296.76
30-Oct-17,2606.79,946.96,293.23
31-Oct-17,2627.82,924.74,294.18
01-Nov-17,2593.88,925.92,294.35
02-Nov-17,2639.78,923.13,293.93
03-Nov-17,2619.76,926.37,294.5
06-Nov-17,2641.62,927.57,297.92
07-Nov-17,2718.44,951.18,304.25
08-Nov-17,2741.21,955.2,303.97
09-Nov-17,2732.42,954.92,302.3
10-Nov-17,2706.84,959.46,302.01
13-Nov-17,2757.27,958.24,300.6
14-Nov-17,2718.61,948.44,298.04
15-Nov-17,2736.73,950.67,296.27
16-Nov-17,2734,978.58,296.92
17-Nov-17,2719.89,974.04,296.27
20-Nov-17,2709.98,961.63,294.48
21-Nov-17,2678.52,966.87,295.36
22-Nov-17,2690.88,966.54,294.02
23-Nov-17,2684.25,984.7,293.58
24-Nov-17,2688.26,1010.09,292.06
27-Nov-17,2678.65,997.92,293.18
28-Nov-17,2679.22,988.73,294.7
29-Nov-17,2674.7,984.37,297.36
30-Nov-17,2641.37,978.17,294.36
01-Dec-17,2647.75,966.26,290.92
04-Dec-17,2629.84,985.73,287.76
05-Dec-17,2641.13,990.92,285.03
06-Dec-17,2627.47,989.37,282.27
07-Dec-17,2623.62,995.95,282.08
08-Dec-17,2621.69,1002.25,284.04
11-Dec-17,2635.45,1000.75,287.62
12-Dec-17,2624.14,1009.41,287.68
13-Dec-17,2632.07,1010.55,287.42
14-Dec-17,2558.8,1010.36,285.95
15-Dec-17,2552.92,1019.21,289.18
18-Dec-17,2548.56,1019.42,291.44
19-Dec-17,2583.18,1007.23,293.29
20-Dec-17,2573.6,1011.09,295.06
21-Dec-17,2595.09,1014.97,296.7
22-Dec-17,2636.33,1035.23,300.32
26-Dec-17,2653.61,1034.88,301.88
27-Dec-17,2632.21,1034,304.15
28-Dec-17,2630.44,1034.41,306.61
29-Dec-17,2677.92,1041.38,310.35
01-Jan-18,2654.94,1036.23,316.44
02-Jan-18,2641.06,1031.43,318.7
03-Jan-18,2649.21,1022.55,315.06
04-Jan-18,2649.94,1014.48,309.71
05-Jan-18,2684.95,1012.92,311.03
08-Jan-18,2709.74,1029.31,310.76
09-Jan-18,2703.56,1036.46,313.19
10-Jan-18,2763.3,1043.96,322.7
11-Jan-18,2796.58,1069.86,322.79
12-Jan-18,2764.28,1077.02,319.36
15-Jan-18,2768.32,1080.89,318.71
16-Jan-18,2834.5,1116.71,327.94
17-Jan-18,2900.36,1150.95,327.4
18-Jan-18,2896.35,1148.19,324.47
19-Jan-18,2930.77,1142.09,326.17
22-Jan-18,3052.16,1144.31,322.8
23-Jan-18,3112.03,1176.85,316.45
24-Jan-18,3189.59,1195.52,317.12
25-Jan-18,3123.06,1171.54,312.65
29-Jan-18,3196.14,1185.12,312.15
30-Jan-18,3166.46,1169.32,306.85
31-Jan-18,3119.14,1153.93,304.07
01-Feb-18,3146.24,1141.19,303.77
02-Feb-18,3167.25,1144.88,299.45
05-Feb-18,3118.75,1143.33,300.64
06-Feb-18,3020.91,1113.87,293.4
07-Feb-18,2975.26,1113.49,290.7
08-Feb-18,3000.15,1138.52,291.27
09-Feb-18,2940.4,1112.64,285.41
12-Feb-18,2981.33,1106.85,289.07
14-Feb-18,2939.65,1106.89,294.27
15-Feb-18,2925.44,1118.96,292.82
16-Feb-18,2965.52,1128.32,293.27
19-Feb-18,2928.1,1129.16,290.46
20-Feb-18,2959.27,1141.14,291.59
21-Feb-18,3016.25,1146.98,292.59
22-Feb-18,3047.84,1157.22,292.71
23-Feb-18,3044.72,1158.08,294.18
26-Feb-18,3044.1,1142.81,292.47
27-Feb-18,3054.42,1139.08,292.32
28-Feb-18,3040.16,1172.09,292.27
01-Mar-18,3042.25,1161.83,292.26
05-Mar-18,3075.76,1158.68,291.64
06-Mar-18,3087.33,1157.61,288.59
07-Mar-18,3045.28,1148.31,287.76
08-Mar-18,3017.6,1158.61,285.9
09-Mar-18,3030.68,1162.36,285.97
12-Mar-18,3060.88,1186.26,290.24
13-Mar-18,2880.44,1187.19,296.45
14-Mar-18,2899.62,1180.26,294.33
15-Mar-18,2876.92,1180.88,297.04
16-Mar-18,2834.32,1172.96,295.04
19-Mar-18,2832.48,1156.94,291.59
20-Mar-18,2852.27,1159.74,292.67
21-Mar-18,2865.76,1171.53,294.14
22-Mar-18,2843.57,1167.57,291.36
23-Mar-18,2816.79,1164.59,285.53
26-Mar-18,2812.33,1153.17,274.66
27-Mar-18,2845.6,1154.45,275.45
28-Mar-18,2854.33,1136.18,279.14
02-Apr-18,2888.94,1135.86,284.12
03-Apr-18,2907.92,1135.21,284.05
04-Apr-18,2914.91,1131.81,282.82
05-Apr-18,2949.56,1140.71,285.39
06-Apr-18,2943.69,1128.81,284.3
09-Apr-18,2936.88,1113.12,284.64
10-Apr-18,2943.58,1115.77,283.06
11-Apr-18,2987.68,1124.78,286.68
12-Apr-18,3116.29,1157.71,288.1
13-Apr-18,3181.37,1172.37,291.32
16-Apr-18,3169.39,1125.66,290.59
17-Apr-18,3165.81,1121.63,285.29
18-Apr-18,3166.57,1124.27,290.34
19-Apr-18,3190.56,1132.61,292.05
20-Apr-18,3351.07,1171.78,298.15
23-Apr-18,3478.05,1186.79,297.42
24-Apr-18,3385.7,1168.64,289.4
25-Apr-18,3445.24,1160.85,289.04
26-Apr-18,3528.84,1172.76,278.81
27-Apr-18,3475.49,1183.9,276.54
30-Apr-18,3523.56,1199.78,279.62
02-May-18,3496.99,1192.72,275.63
03-May-18,3501.58,1195.66,271.54
04-May-18,3485.14,1165.5,268.12
07-May-18,3438.41,1181.67,273.34
08-May-18,3447.8,1167.51,272.33
09-May-18,3480.95,1169.95,271.68
10-May-18,3478.59,1173.06,270.2
11-May-18,3461.07,1174.3,271.11
14-May-18,3427.81,1184.18,271.9
15-May-18,3477.97,1196.6,271.73
16-May-18,3494.21,1191.85,274.89
17-May-18,3509.69,1186.19,277.9
18-May-18,3487.86,1181.08,271.54
21-May-18,3567.15,1182.21,266.15
22-May-18,3520.43,1189.56,264.69
23-May-18,3513.84,1198.4,264.23
24-May-18,3579.69,1217.23,264.27
25-May-18,3633.11,1239.09,264.75
28-May-18,3516.38,1218.07,263.62
29-May-18,3517.42,1214.01,263.41
30-May-18,3508.9,1214.64,260.81
31-May-18,1742.44,1230.2,261.88
01-Jun-18,1742.29,1229.79,262.42
04-Jun-18,1730.25,1233.14,260.61
05-Jun-18,1728.88,1226.49,257.68
06-Jun-18,1725.85,1234.18,258.47
07-Jun-18,1738,1252.57,263.78
08-Jun-18,1748.59,1257.48,264.19
11-Jun-18,1752.55,1262.71,264.59
12-Jun-18,1773.52,1258.01,267.13
13-Jun-18,1818.17,1275.2,268.61
14-Jun-18,1795.49,1242.78,266.62
15-Jun-18,1823.42,1267.1,266.77
18-Jun-18,1840.85,1273.18,265.47
19-Jun-18,1829.83,1244.36,262.04
20-Jun-18,1828.68,1245.07,259.46
21-Jun-18,1822.83,1247.63,258.42
