,DESTINATION,KEYWORDS,ORIGIN
0,EWR,gate,ORD
1,EWR,changed,ORD
2,EWR,notified,ORD
3,EWR,sitting,ORD
4,EWR,b5,ORD
5,EWR,passengers,ORD
6,EWR,realized,ORD
7,EWR,boarding,ORD
8,EWR,time,ORD
9,EWR,gate,ORD
10,EWR,screen,ORD
11,EWR,longer,ORD
12,EWR,showed,ORD
13,EWR,flight,ORD
14,EWR,info,ORD
15,EWR,announcements,ORD
16,EWR,made,ORD
17,EWR,figured,ORD
18,EWR,gate,ORD
19,EWR,b18,ORD
20,EWR,run,ORD
21,EWR,gate,ORD
22,ORD,flight,OMA
23,ORD,attendant,OMA
24,ORD,must,OMA
25,ORD,overslept,OMA
26,ORD,early,OMA
27,ORD,morning,OMA
28,ORD,flight,OMA
29,ORD,left,OMA
30,ORD,entire,OMA
31,ORD,group,OMA
32,ORD,customers,OMA
33,ORD,waiting,OMA
34,ORD,board,OMA
35,ORD,flight,OMA
36,ORD,time,OMA
37,ORD,arrived,OMA
38,ORD,delayed,OMA
39,ORD,flight,OMA
40,ORD,purely,OMA
41,ORD,flight,OMA
42,ORD,attendant,OMA
43,ORD,fortunately,OMA
44,ORD,flight,OMA
45,ORD,new,OMA
46,ORD,york,OMA
47,ORD,held,OMA
48,ORD,back,OMA
49,ORD,accommodate,OMA
50,ORD,passengers,OMA
51,ORD,unfortunately,OMA
52,ORD,passengers,OMA
53,ORD,already,OMA
54,ORD,boarded,OMA
55,ORD,left,OMA
56,ORD,behind,OMA
57,ORD,know,OMA
58,ORD,several,OMA
59,ORD,passengers,OMA
60,ORD,flight,OMA
61,ORD,chicago,OMA
62,ORD,left,OMA
63,ORD,missing,OMA
64,ORD,connections,OMA
65,ORD,know,OMA
66,ORD,accidents,OMA
67,ORD,happen,OMA
68,ORD,end,OMA
69,ORD,responsible,OMA
70,ORD,employees,OMA
71,ORD,employee,OMA
72,ORD,led,OMA
73,ORD,disruptive,OMA
74,ORD,flight,OMA
75,ORD,scheduled,MSN
76,ORD,leave,MSN
77,ORD,sunday,MSN
78,ORD,december,MSN
79,ORD,31st,MSN
80,ORD,mechanical,MSN
81,ORD,problems,MSN
82,ORD,delayed,MSN
83,ORD,resulting,MSN
84,ORD,missing,MSN
85,ORD,connection,MSN
86,ORD,chicago,MSN
87,ORD,san,MSN
88,ORD,diego,MSN
89,ORD,last,MSN
90,ORD,flight,MSN
91,ORD,available,MSN
92,ORD,went,MSN
93,ORD,back,MSN
94,ORD,service,MSN
95,ORD,deskcheck,MSN
96,ORD,rebook,MSN
97,ORD,waiting,MSN
98,ORD,bag,MSN
99,ORD,back,MSN
100,ORD,afroamerican,MSN
101,ORD,female,MSN
102,ORD,agent,MSN
103,ORD,assisting,MSN
104,ORD,gentleman,MSN
105,ORD,rebook,MSN
106,ORD,announced,MSN
107,ORD,delay,MSN
108,ORD,mechanical,MSN
109,ORD,problem,MSN
110,ORD,rebooked,MSN
111,ORD,540,MSN
112,ORD,flight,MSN
113,ORD,morning,MSN
114,ORD,agent,MSN
115,ORD,phone,MSN
116,ORD,gentleman,MSN
117,ORD,problems,MSN
118,ORD,basic,MSN
119,ORD,economy,MSN
120,ORD,ticket,MSN
121,ORD,accommodating,MSN
122,ORD,point,MSN
123,ORD,stated,MSN
124,ORD,feel,MSN
125,ORD,right,MSN
126,ORD,since,MSN
127,ORD,uniteds,MSN
128,ORD,fault,MSN
129,ORD,delay,MSN
130,ORD,since,MSN
131,ORD,basic,MSN
132,ORD,economy,MSN
133,ORD,ticket,MSN
134,ORD,couldnt,MSN
135,ORD,much,MSN
136,ORD,point,MSN
137,ORD,turned,MSN
138,ORD,obviously,MSN
139,ORD,liking,MSN
140,ORD,comment,MSN
141,ORD,stated,MSN
142,ORD,helping,MSN
143,ORD,problem,MSN
144,ORD,gentleman,MSN
145,ORD,stated,MSN
146,ORD,fault,MSN
147,ORD,isnt,MSN
148,ORD,replied,MSN
149,ORD,fault,MSN
150,ORD,obviously,MSN
151,ORD,dealing,MSN
152,ORD,well,MSN
153,ORD,confrontation,MSN
154,ORD,give,MSN
155,ORD,reflection,MSN
156,ORD,situation,MSN
157,ORD,handled,MSN
158,ORD,gentleman,MSN
159,ORD,upset,MSN
160,ORD,purchased,MSN
161,ORD,ticket,MSN
162,ORD,uniteds,MSN
163,ORD,website,MSN
164,ORD,nothing,MSN
165,ORD,really,MSN
166,ORD,stating,MSN
167,ORD,restrictionslimitations,MSN
168,ORD,purchasing,MSN
169,ORD,basic,MSN
170,ORD,economy,MSN
171,ORD,ticket,MSN
172,ORD,finally,MSN
173,ORD,talk,MSN
174,ORD,manager,MSN
175,ORD,find,MSN
176,ORD,resolve,MSN
177,ORD,experienced,MSN
178,ORD,exact,MSN
179,ORD,situation,MSN
180,ORD,november,MSN
181,ORD,2017,MSN
182,ORD,flight,MSN
183,ORD,san,MSN
184,ORD,diego,MSN
185,ORD,madison,MSN
186,ORD,flight,MSN
187,ORD,back,MSN
188,ORD,madison,MSN
189,ORD,chicago,MSN
190,ORD,problems,MSN
191,ORD,people,MSN
192,ORD,needed,MSN
193,ORD,rebooked,MSN
194,ORD,found,MSN
195,ORD,reasons,MSN
196,ORD,time,MSN
197,ORD,situation,MSN
198,ORD,uniteds,MSN
199,ORD,fault,MSN
200,ORD,delayyou,MSN
201,ORD,know,MSN
202,ORD,accommodate,MSN
203,ORD,passenger,MSN
204,ORD,whether,MSN
205,ORD,whatever,MSN
206,ORD,ticket,MSN
207,ORD,whatever,MSN
208,ORD,takes,MSN
209,ORD,passenger,MSN
210,ORD,final,MSN
211,ORD,destination,MSN
212,ORD,know,MSN
213,ORD,gentleman,MSN
214,ORD,upset,MSN
215,ORD,personally,MSN
216,ORD,look,MSN
217,ORD,airlines,MSN
218,ORD,back,MSN
219,ORD,madison,MSN
220,ORD,5,MSN
221,ORD,months,MSN
222,ORD,created,MSN
223,ORD,cheaper,MSN
224,ORD,ticket,MSN
225,ORD,level,MSN
226,ORD,limits,MSN
227,ORD,passenger,MSN
228,ORD,lot,MSN
229,ORD,including,MSN
230,ORD,able,MSN
231,ORD,choose,MSN
232,ORD,seat,MSN
233,ORD,able,MSN
234,ORD,bring,MSN
235,ORD,carry,MSN
236,ORD,limited,MSN
237,ORD,options,MSN
238,ORD,rebooking,MSN
239,ORD,name,MSN
240,ORD,cheaperyou,MSN
241,ORD,created,MSN
242,ORD,level,MSN
243,ORD,charge,MSN
244,ORD,customer,MSN
245,ORD,year,MSN
246,ORD,everything,MSN
247,ORD,added,MSN
248,ORD,together,MSN
249,ORD,round,MSN
250,ORD,trip,MSN
251,ORD,ticket,MSN
252,ORD,madison,MSN
253,ORD,wi,MSN
254,ORD,san,MSN
255,ORD,diego,MSN
256,ORD,basically,MSN
257,ORD,600,MSN
258,ORD,pricing,MSN
259,ORD,tickets,MSN
260,ORD,probably,MSN
261,ORD,45,MSN
262,ORD,months,MSN
263,ORD,prior,MSN
264,ORD,waiting,MSN
265,ORD,prices,MSN
266,ORD,come,MSN
267,ORD,didso,MSN
268,ORD,sure,MSN
269,ORD,hearing,MSN
270,ORD,ticket,MSN
271,ORD,prices,MSN
272,ORD,yeartime,MSN
273,ORD,add,MSN
274,ORD,extra,MSN
275,ORD,fees,MSN
276,ORD,pay,MSN
277,ORD,nowi,MSN
278,ORD,pay,MSN
279,ORD,much,MSN
280,ORD,ticket,MSN
281,ORD,digressing,MSN
282,ORD,however,MSN
283,ORD,personally,MSN
284,ORD,pay,MSN
285,ORD,extra,MSN
286,ORD,ticket,MSN
287,ORD,later,MSN
288,ORD,find,MSN
289,ORD,flight,MSN
290,ORD,madison,MSN
291,ORD,chicago,MSN
292,ORD,somehow,MSN
293,ORD,madison,MSN
294,ORD,took,MSN
295,ORD,completed,MSN
296,ORD,trip,MSN
297,ORD,half,MSN
298,ORD,scheduled,MSN
299,ORD,time,MSN
300,ORD,actually,MSN
301,ORD,taken,MSN
302,ORD,flight,MSN
303,ORD,chances,MSN
304,ORD,probably,MSN
305,ORD,made,MSN
306,ORD,connection,MSN
307,ORD,rebooked,MSN
308,ORD,confusing,MSN
309,ORD,instead,MSN
310,ORD,rebooked,MSN
311,ORD,540,MSN
312,ORD,flight,MSN
313,ORD,means,MSN
314,ORD,3,MSN
315,ORD,well,MSN
316,ORD,80,MSN
317,ORD,year,MSN
318,ORD,old,MSN
319,ORD,parents,MSN
320,ORD,airport,MSN
321,ORD,time,MSN
322,ORD,check,MSN
323,ORD,luggage,MSN
324,ORD,etc,MSN
325,ORD,supposed,MSN
326,EWR,space,MSY
327,EWR,seats,MSY
328,EWR,concern,MSY
329,EWR,especially,MSY
330,EWR,persons,MSY
331,EWR,tall,MSY
332,EWR,importantly,MSY
333,EWR,people,MSY
334,EWR,circulation,MSY
335,EWR,problems,MSY
336,EWR,history,MSY
337,EWR,blood,MSY
338,EWR,clots,MSY
339,EWR,limited,MSY
340,EWR,space,MSY
341,EWR,movement,MSY
342,EWR,later,MSY
343,EWR,recommend,MSY
344,EWR,longer,MSY
345,EWR,possible,MSY
346,EWR,health,MSY
347,EWR,risks,MSY
